번호,서명,저자,발행자,발행년,청구기호,자료실
1747,자살하는 대한민국,류한월 지음 ; 류민정 그림,봄볕,2024,유아 813.8-3120,[해운대인문학]유아자료실
1748,작업자의 사전,한라경 지음 ; 심보영 그림,위즈덤하우스,2024,유아 813.8-3121,[해운대인문학]유아자료실
1749,작은 종말,윤지혜 지음,웅진주니어,2023,유아 813.8-3122,[해운대인문학]유아자료실
1750,재무제표가 알려주는 좋은 주식 나쁜 주식,문지나 지음,웅진주니어,2024,유아 813.8-3123,[해운대인문학]유아자료실
1751,전시,에런 베커 지음 ; 이상교 옮김,웅진주니어,2024,유아 843-2029,[해운대인문학]유아자료실
1752,정오에서 가장 먼 시간,문채빈 지음,웅진주니어,2024,유아 808.9-28-127,[해운대인문학]유아자료실
1753,제철 행복,큐라이스 지음 ; 봉봉 옮김,미운오리새끼,2024,유아 833.8-638,[해운대인문학]유아자료실
1754,조금 더 사랑하는 쪽으로,조원희 지음,사계절,2024,유아 342-4-[7],[해운대인문학]유아자료실
1755,조반니의 방,서현 외 지음,사계절,2024,유아 342-4-[8],[해운대인문학]유아자료실
1756,종이비행기,베아트리체 알레마냐 지음 ; 정회성 옮김,비룡소,2024,유아 808.9-1-332,[해운대인문학]유아자료실
1757,좋아 보여서 다행,오소리 지음,이야기꽃,2024,유아 813.8-3124,[해운대인문학]유아자료실
1758,좋음과 싫음 사이 : 서효인의 6월,이혜란 지음,곰곰,2024,유아 813.8-3125,[해운대인문학]유아자료실
1759,지구 끝까지 쫓는다,지민희 지음,걸음동무,2024,유아 813.8-3126,[해운대인문학]유아자료실
1760,지구를 지키는 괴짜 브랜드,박지선 지음 ; 박소연 그림,발견,2024,유아 813.8-3127,[해운대인문학]유아자료실
1761,지금 꼭 안아줄 것,공은혜 지음,길벗어린이,2024,유아 813.8-3128,[해운대인문학]유아자료실
1762,진짜 나를 찾아라,김보일 지음 ; 함주해 그림,"그리고 다시, 봄",2024,유아 813.8-3129,[해운대인문학]유아자료실
1763,찌그러져도 동그라미입니다,히라타 도시유키 지음 ; 황진희 옮김,호호아,2024,유아 833.8-639,[해운대인문학]유아자료실
1764,찢어진 종잇조각의 신,닐 게이먼 지음 ; 신소영 옮김,초록귤,2024,유아 843-2030,[해운대인문학]유아자료실
1765,참을 수 없는 모발의 가벼움,조아라 지음 ; 호랑쥐 그림,대림아이,2024,아동 813.8-3832-1,[해운대인문학]어린이자료실
1766,천국어 사전,김윤정 지음 ; 윤태규 그림,기린미디어,2024,아동 372.42-35=2,[해운대인문학]어린이자료실
1767,천지신명은 여자의 말을 듣지 않지,곽기혁 지음,스튜디오돌곶이,2024,아동 813.8-569-4,[해운대인문학]어린이자료실
1768,청혼,트레이시 웨스트 지음 ; 데미안 존스 그림 ; 윤영 옮김,다산어린이,2024,아동 843-657-10,[해운대인문학]어린이자료실
1769,초록을 입고 : 오은의 5월,트레이시 웨스트 지음 ; 니나 드 폴로니아 그림 ; 윤영 옮김,다산어린이,2024,아동 843-657-11,[해운대인문학]어린이자료실
1770,초록의 어두운 부분,주미선 지음 ; 송민선 그림,가문비어린이,2024,아동 813.8-3833,[해운대인문학]어린이자료실
1771,친애하는 슐츠 씨 : 오래된 편견을 넘어선 사람들,장동미 지음 ; 김수옥 그림,초록달팽이,2024,아동 811.8-426,[해운대인문학]어린이자료실
1772,카인의 오만,장예진 지음 ; 문소 그림,썬더키즈,2024,아동 813.8-3834,[해운대인문학]어린이자료실
1773,케이크 자르기 : 기념일 앤솔러지,양재홍 엮음 ; 이우정 그림,지경사,2024,아동 714.4-37,[해운대인문학]어린이자료실
